,Modelo,Precio,Color,Pais,Kilometraje,Velocidad
310,Model 3,28991.0,Blanco,España,98226,324 kW (441 CV)
311,Model 3,28991.0,Blanco,España,98226,324 kW (441 CV)
312,Model 3,28991.0,Blanco,España,98226,324 kW (441 CV)
313,Model 3,28991.0,Blanco,España,98226,324 kW (441 CV)
314,Model 3,28991.0,Blanco,España,98226,324 kW (441 CV)
315,Model 3,28991.0,Blanco,España,98226,324 kW (441 CV)
316,Model 3,28991.0,Blanco,España,98226,324 kW (441 CV)
317,Model 3,33900.0,Blanco,España,77000,360 kW (489 CV)
318,Model 3,28991.0,Blanco,España,98226,324 kW (441 CV)
319,Model 3,28991.0,Blanco,España,98226,324 kW (441 CV)
320,Model 3,28991.0,Blanco,España,98226,324 kW (441 CV)
321,Model 3,34500.0,Blanco,España,39900,324 kW (441 CV)
322,Model 3,28991.0,Blanco,España,98226,324 kW (441 CV)
323,Model 3,39900.0,Blanco,España,8900,239 kW (325 CV)
324,Model 3,33920.0,Blanco,Francia,34000,88 kW (120 CV)
325,Model 3,26990.0,Blanco,Francia,50000,240 kW (326 CV)
326,Model 3,27990.0,Blanco,Francia,28000,203 kW (276 CV)
327,Model 3,29990.0,Blanco,Francia,13000,209 kW (284 CV)
328,Model 3,30990.0,Blanco,Francia,19500,208 kW (283 CV)
329,Model 3,25990.0,Blanco,Francia,71800,- kW (- CV)
330,Model 3,31690.0,Blanco,Francia,63000,- kW (- CV)
331,Model 3,29990.0,Blanco,Francia,22592,202 kW (275 CV)
332,Model 3,31990.0,Blanco,Francia,76600,340 kW (462 CV)
333,Model 3,35990.0,Blanco,Francia,17000,- kW (- CV)
334,Model 3,23690.0,Blanco,Francia,85575,203 kW (276 CV)
335,Model 3,35500.0,Blanco,Francia,23600,280 kW (381 CV)
336,Model 3,25500.0,Blanco,Francia,99800,202 kW (275 CV)
337,Model 3,27000.0,Blanco,Francia,93000,340 kW (462 CV)
338,Model 3,26800.0,Blanco,Francia,54866,202 kW (275 CV)
339,Model 3,37900.0,Blanco,Francia,30000,208 kW (283 CV)
340,Model 3,37500.0,Blanco,Francia,12000,88 kW (120 CV)
341,Model 3,25990.0,Blanco,Francia,70000,- kW (- CV)
342,Model 3,30000.0,Blanco,Francia,37000,202 kW (275 CV)
343,Model 3,27990.0,Blanco,Francia,66500,202 kW (275 CV)
344,Model 3,37500.0,Blanco,Francia,8500,202 kW (275 CV)
345,Model 3,36000.0,Blanco,Francia,12000,202 kW (275 CV)
346,Model 3,29890.0,Blanco,Francia,51154,88 kW (120 CV)
347,Model 3,26490.0,Blanco,Francia,83061,208 kW (283 CV)
348,Model 3,32900.0,Blanco,Francia,8000,202 kW (275 CV)
349,Model 3,26990.0,Blanco,Francia,51921,226 kW (307 CV)
350,Model 3,31100.0,Blanco,Francia,28534,340 kW (462 CV)
351,Model 3,25700.0,Blanco,Francia,134000,340 kW (462 CV)
352,Model 3,31000.0,Blanco,Francia,20000,202 kW (275 CV)
353,Model 3,35000.0,Blanco,Francia,10054,210 kW (286 CV)
354,Model 3,28500.0,Blanco,Francia,107980,360 kW (489 CV)
355,Model 3,32990.0,Blanco,Francia,68000,258 kW (351 CV)
356,Model 3,38900.0,Blanco,Francia,24400,393 kW (534 CV)
357,Model 3,33990.0,Blanco,Francia,30000,202 kW (275 CV)
358,Model 3,29990.0,Blanco,Francia,51125,340 kW (462 CV)
359,Model 3,28000.0,Blanco,Francia,77000,202 kW (275 CV)
360,Model 3,25989.0,Blanco,Francia,100000,240 kW (326 CV)
361,Model 3,32200.0,Blanco,Francia,42000,202 kW (275 CV)
362,Model 3,29900.0,Blanco,Francia,86731,251 kW (341 CV)
363,Model 3,34990.0,Blanco,Francia,54000,360 kW (489 CV)
364,Model 3,31990.0,Blanco,Francia,62000,340 kW (462 CV)
365,Model 3,31990.0,Blanco,Francia,115000,340 kW (462 CV)
366,Model 3,37800.0,Blanco,Francia,29500,368 kW (500 CV)
367,Model 3,34490.0,Blanco,Francia,45000,209 kW (284 CV)
368,Model 3,29680.0,Blanco,Francia,99624,350 kW (476 CV)
369,Model 3,31800.0,Blanco,Francia,48700,202 kW (275 CV)
370,Model 3,29000.0,Blanco,Francia,45384,202 kW (275 CV)
371,Model 3,30990.0,Blanco,Francia,57180,351 kW (477 CV)
372,Model 3,35490.0,Blanco,Francia,38727,155 kW (211 CV)
373,Model 3,30990.0,Blanco,Francia,88342,351 kW (477 CV)
374,Model 3,29900.0,Blanco,Francia,130000,355 kW (483 CV)
375,Model 3,23900.0,Blanco,Francia,69000,239 kW (325 CV)
376,Model 3,23500.0,Blanco,Francia,81080,340 kW (462 CV)
377,Model 3,28900.0,Blanco,Italia,68800,153 kW (208 CV)
378,Model 3,27900.0,Blanco,Italia,99000,155 kW (211 CV)
379,Model 3,25499.0,Blanco,Italia,128000,155 kW (211 CV)
380,Model 3,31900.0,Blanco,Italia,62375,153 kW (208 CV)
381,Model 3,39900.0,Blanco,Italia,1,88 kW (120 CV)
382,Model 3,30000.0,Blanco,Italia,43500,88 kW (120 CV)
383,Model 3,26100.0,Blanco,Italia,89000,88 kW (120 CV)
384,Model 3,42900.0,Blanco,Italia,25841,155 kW (211 CV)
385,Model 3,27800.0,Blanco,Italia,59719,153 kW (208 CV)
386,Model 3,29500.0,Blanco,Italia,54000,88 kW (120 CV)
387,Model 3,32000.0,Blanco,Italia,30806,155 kW (211 CV)
388,Model 3,39900.0,Blanco,Italia,1,88 kW (120 CV)
389,Model 3,27500.0,Blanco,Italia,58000,88 kW (120 CV)
390,Model 3,31000.0,Blanco,Italia,23133,88 kW (120 CV)
391,Model 3,30400.0,Blanco,Italia,31350,155 kW (211 CV)
392,Model 3,24900.0,Blanco,Italia,98000,153 kW (208 CV)
393,Model 3,26500.0,Blanco,Italia,61000,88 kW (120 CV)
394,Model 3,28500.0,Blanco,Italia,61000,153 kW (208 CV)
395,Model 3,25000.0,Blanco,Italia,114000,153 kW (208 CV)
396,Model 3,29568.0,Blanco,Italia,29989,88 kW (120 CV)
397,Model 3,27900.0,Blanco,Italia,18200,153 kW (208 CV)
398,Model 3,23000.0,Blanco,Italia,99000,153 kW (208 CV)
399,Model 3,23000.0,Blanco,Italia,81000,88 kW (120 CV)
400,Model 3,28000.0,Blanco,Italia,74000,153 kW (208 CV)
401,Model 3,33500.0,Blanco,Italia,49900,88 kW (120 CV)
402,Model 3,27700.0,Blanco,Italia,101379,153 kW (208 CV)
403,Model 3,21800.0,Blanco,Italia,210000,153 kW (208 CV)
404,Model 3,34000.0,Blanco,Italia,18000,155 kW (211 CV)
405,Model 3,30000.0,Blanco,Italia,99500,155 kW (211 CV)
406,Model 3,30990.0,Blanco,Italia,75000,153 kW (208 CV)
407,Model 3,30500.0,Blanco,Italia,79000,155 kW (211 CV)
408,Model 3,28500.0,Blanco,Italia,51333,153 kW (208 CV)
409,Model 3,29900.0,Blanco,Italia,60000,155 kW (211 CV)
410,Model 3,30990.0,Blanco,Italia,113000,155 kW (211 CV)
411,Model 3,23000.0,Blanco,Italia,218000,153 kW (208 CV)
412,Model 3,32999.0,Blanco,Italia,92000,155 kW (211 CV)
